sdate,variable,value,sign_if_LT_LOD,flag
21-May-90,TEMP,13.5,,1
05-Jun-90,TEMP,14.4,,1
18-Jun-90,TEMP,16.3,,1
02-Jul-90,TEMP,15,,1
16-Jul-90,TEMP,17.3,,1
30-Jul-90,TEMP,18.7,,1
13-Aug-90,TEMP,18.1,,1
22-Aug-90,TEMP,15.4,,1
28-Aug-90,TEMP,18,,1
10-Sep-90,TEMP,14.5,,1
25-Sep-90,TEMP,11.5,,1
08-Oct-90,TEMP,11,,1
22-Oct-90,TEMP,11.1,,1
06-Nov-90,TEMP,8.4,,1
19-Nov-90,TEMP,8,,1
03-Dec-90,TEMP,5.5,,1
21-Jan-91,TEMP,3.2,,1
28-Jan-91,TEMP,2.1,,1
28-Feb-91,TEMP,5.5,,1
12-Mar-91,TEMP,6.9,,1
25-Mar-91,TEMP,7.8,,1
02-Apr-91,TEMP,8,,1
09-Apr-91,TEMP,7,,1
23-Apr-91,TEMP,8.1,,1
07-May-91,TEMP,9.2,,1
20-May-91,TEMP,12.9,,1
03-Jun-91,TEMP,15.8,,1
17-Jun-91,TEMP,13,,1
02-Jul-91,TEMP,17.3,,1
16-Jul-91,TEMP,16.6,,1
06-Aug-91,TEMP,18,,1
27-Aug-91,TEMP,16.8,,1
09-Sep-91,TEMP,18.3,,1
23-Sep-91,TEMP,14.3,,1
14-Oct-91,TEMP,11.4,,1
21-Oct-91,TEMP,7.8,,1
04-Nov-91,TEMP,8.1,,1
19-Nov-91,TEMP,5.4,,1
02-Dec-91,TEMP,6.9,,1
16-Dec-91,TEMP,4.8,,1
07-Jan-92,TEMP,6.5,,1
13-Jan-92,TEMP,6,,1
10-Feb-92,TEMP,5.5,,1
24-Feb-92,TEMP,6,,1
10-Mar-92,TEMP,6.4,,1
23-Mar-92,TEMP,6.8,,1
07-Apr-92,TEMP,7,,1
21-Apr-92,TEMP,8.8,,1
05-May-92,TEMP,10.2,,1
18-May-92,TEMP,15.7,,1
01-Jun-92,TEMP,18.3,,1
15-Jun-92,TEMP,19.5,,1
30-Jun-92,TEMP,19.3,,1
13-Jul-92,TEMP,18.3,,1
27-Jul-92,TEMP,16.9,,1
10-Aug-92,TEMP,16.3,,1
24-Aug-92,TEMP,15.6,,1
07-Sep-92,TEMP,12,,1
21-Sep-92,TEMP,13.1,,1
06-Oct-92,TEMP,12,,1
19-Oct-92,TEMP,9.8,,1
16-Nov-92,TEMP,6.2,,1
30-Nov-92,TEMP,6,,1
14-Dec-92,TEMP,5.1,,1
11-Jan-93,TEMP,4,,1
26-Jan-93,TEMP,4.8,,1
08-Feb-93,TEMP,5.6,,1
22-Feb-93,TEMP,5.3,,1
23-Mar-93,TEMP,6,,1
05-Apr-93,TEMP,7.2,,1
19-Apr-93,TEMP,8.9,,1
04-May-93,TEMP,12,,1
19-May-93,TEMP,11,,1
28-May-93,TEMP,12,,1
14-Jun-93,TEMP,17,,1
28-Jun-93,TEMP,16.8,,1
13-Jul-93,TEMP,15.8,,1
27-Jul-93,TEMP,15.3,,1
09-Aug-93,TEMP,15.1,,1
06-Sep-93,TEMP,15.3,,1
20-Sep-93,TEMP,13,,1
04-Oct-93,TEMP,11.8,,1
19-Oct-93,TEMP,9,,1
01-Nov-93,TEMP,8.2,,1
15-Nov-93,TEMP,8,,1
14-Dec-93,TEMP,4.8,,1
11-Jan-94,TEMP,4,,1
24-Jan-94,TEMP,4,,1
07-Feb-94,TEMP,3.8,,1
07-Mar-94,TEMP,4.2,,1
21-Mar-94,TEMP,5.2,,1
05-Apr-94,TEMP,5.9,,1
18-Apr-94,TEMP,8,,1
03-May-94,TEMP,10.8,,1
17-May-94,TEMP,12.8,,1
31-May-94,TEMP,13.6,,1
13-Jun-94,TEMP,14.5,,1
27-Jun-94,TEMP,15.1,,1
11-Jul-94,TEMP,17,,1
08-Aug-94,TEMP,18.4,,1
22-Aug-94,TEMP,16.8,,1
06-Sep-94,TEMP,15.2,,1
19-Sep-94,TEMP,11.5,,1
03-Oct-94,TEMP,12,,1
17-Oct-94,TEMP,10.9,,1
01-Nov-94,TEMP,9.3,,1
15-Nov-94,TEMP,9.9,,1
29-Nov-94,TEMP,8.7,,1
13-Dec-94,TEMP,6.9,,1
17-Jan-95,TEMP,4.8,,1
30-Jan-95,TEMP,3,,1
13-Feb-95,TEMP,5.2,,1
